Tabla 1
IdCliente;NombreCliente;Ciudad;;
1;Pedro Fernandez;Encarnación;;
2;Santiago Diaz;Ciudad del Este;;
3;Carlos Nieves;Asunción;;
4;Federica Lopez;Ciudad del Este;;
5;Jhon Snow;Ciudad del Este;;
6;Laura González;Ciudad del Este;;
7;Diego Ramírez;Asunción;;
8;Sofía Herrera;Asunción;;
9;Andrés Torres;Encarnación;;
10;Mariana Castillo;Ciudad del Este;;
11;Jorge Fernández;Encarnación;;
12;Valeria Cruz;Asunción;;
13;Ricardo Morales;Asunción;;
14;Isabel Romero;Ciudad del Este;;
15;Tomás Navarro;Asunción;;
16;Daniela Paredes;Encarnación;;
17;Francisco León;Asunción;;
18;Paula Sánchez;Ciudad del Este;;
19;Camila Ortega;Ciudad del Este;;
20;Alejandro Vargas;Encarnación;;
