Tabla 1
IdVenta;IdProducto;IdCliente;Cantidad;FechaVenta
1;2;9;3;2024-05-12 00:00:00
2;3;7;3;2024-10-03 00:00:00
3;8;6;2;2024-09-23 00:00:00
4;8;5;2;2024-05-29 00:00:00
5;3;17;4;2023-06-13 00:00:00
6;8;20;4;2024-02-15 00:00:00
7;2;11;2;2023-10-09 00:00:00
8;8;6;3;2024-04-19 00:00:00
9;7;4;1;2024-06-19 00:00:00
10;3;20;2;2024-07-29 00:00:00
11;2;19;1;2023-04-26 00:00:00
12;9;12;3;2024-08-10 00:00:00
13;2;16;4;2024-03-19 00:00:00
14;7;18;4;2024-09-26 00:00:00
15;3;4;4;2024-04-28 00:00:00
16;4;4;1;2024-03-09 00:00:00
17;7;3;3;2023-10-10 00:00:00
18;2;19;4;2024-09-25 00:00:00
19;9;11;3;2024-05-25 00:00:00
20;6;8;2;2024-03-20 00:00:00
21;4;18;1;2024-03-01 00:00:00
22;9;5;2;2024-05-16 00:00:00
23;2;10;3;2024-08-15 00:00:00
24;2;16;3;2024-04-25 00:00:00
25;6;3;3;2023-12-23 00:00:00
26;8;5;1;2024-07-13 00:00:00
27;10;3;2;2023-03-09 00:00:00
28;1;20;4;2024-04-01 00:00:00
29;4;11;1;2024-02-06 00:00:00
30;7;18;1;2024-11-07 00:00:00
31;5;11;1;2024-06-19 00:00:00
32;2;4;2;2023-05-16 00:00:00
33;6;14;1;2023-07-28 00:00:00
34;9;14;1;2024-10-04 00:00:00
35;6;4;1;2024-10-21 00:00:00
36;1;17;1;2023-01-19 00:00:00
37;9;3;1;2024-12-28 00:00:00
38;5;19;4;2023-01-06 00:00:00
39;1;10;4;2023-09-06 00:00:00
40;6;5;2;2023-12-04 00:00:00
41;10;2;1;2024-04-24 00:00:00
42;3;19;1;2024-10-29 00:00:00
43;2;20;1;2023-11-13 00:00:00
44;5;20;2;2024-03-04 00:00:00
45;7;9;3;2024-07-20 00:00:00
46;5;5;2;2024-09-22 00:00:00
47;3;5;2;2023-10-13 00:00:00
48;3;18;4;2024-09-09 00:00:00
49;6;8;4;2023-03-30 00:00:00
50;7;14;4;2024-10-31 00:00:00
51;5;18;3;2023-09-22 00:00:00
52;2;14;3;2023-04-12 00:00:00
53;1;3;2;2023-10-12 00:00:00
